session_date,source,sessions,bounce_rate
2025-01-26,meta / social,22,0.579
2025-01-26,google-ads,12,0.425
2025-01-26,google / organic,5,0.416
2025-01-26,partner-network,3,0.677
2025-01-26,(organic),5,0.362
2025-01-26,Email,9,0.429
2025-01-26,klaviyo,5,0.481
2025-01-26,googleads,19,0.478
2025-01-26,aff,6,0.645
2025-01-26,AFFILIATE,9,0.6
2025-01-26,fb_paid,22,0.639
2025-01-26,googleads,21,0.509
2025-01-27,aff,12,0.685
2025-01-27,Email,11,0.478
2025-01-27,facebook / paid,19,0.551
2025-01-27,facebook / paid,16,0.521
2025-01-27,seo,4,0.359
2025-01-27,(organic),1,0.351
2025-01-27,googleads,52,0.481
2025-01-27,FB,12,0.537
2025-01-28,Email,10,0.427
2025-01-28,seo,3,0.454
2025-01-28,google / cpc,12,0.51
2025-01-28,partner-network,7,0.63
2025-01-28,google / organic,2,0.415
2025-01-28,adwords,15,0.431
2025-01-28,partner-network,9,0.592
2025-01-28,email / newsletter,3,0.351
2025-01-28,meta / social,54,0.58
2025-01-28,google / cpc,16,0.478
2025-01-28,google / organic,2,0.345
2025-01-29,meta / social,48,0.575
2025-01-29,googleads,32,0.378
2025-01-29,email / newsletter,10,0.501
2025-01-29,seo,3,0.542
2025-01-29,adwords,35,0.534
2025-01-29,google / organic,1,0.37
2025-01-29,partner-network,7,0.695
2025-01-29,aff,9,0.572
2025-01-29,organic,3,0.379
2025-01-30,email / newsletter,3,0.456
2025-01-30,googleads,18,0.401
2025-01-30,Email,3,0.339
2025-01-30,klaviyo,3,0.472
2025-01-30,meta / social,18,0.586
2025-01-30,(organic),4,0.375
2025-01-30,AFFILIATE,6,0.618
2025-01-30,partner-network,6,0.597
2025-01-30,organic,2,0.388
2025-01-30,googleads,21,0.426
2025-01-30,(organic),4,0.406
2025-01-30,meta / social,13,0.644
2025-01-31,googleads,17,0.526
2025-01-31,AFFILIATE,4,0.689
2025-01-31,email-campaign,4,0.402
2025-01-31,organic,2,0.348
2025-01-31,(organic),5,0.435
2025-01-31,email / newsletter,6,0.45
2025-01-31,partner-network,7,0.631
2025-01-31,google / organic,2,0.422
2025-01-31,facebook / paid,23,0.612
2025-01-31,fb_paid,22,0.536
2025-01-31,googleads,17,0.579
2025-02-01,fb_paid,17,0.554
2025-02-01,klaviyo,2,0.412
2025-02-01,organic,6,0.39
2025-02-01,adwords,25,0.473
2025-02-01,googleads,21,0.356
2025-02-01,Email,3,0.378
2025-02-01,meta / social,15,0.599
2025-02-01,AFFILIATE,9,0.594
2025-02-02,seo,5,0.392
2025-02-02,meta / social,18,0.666
2025-02-02,google / cpc,62,0.434
2025-02-02,email-campaign,5,0.357
2025-02-02,Email,3,0.439
2025-02-02,AFFILIATE,4,0.71
2025-02-02,facebook / paid,14,0.677
2025-02-02,aff,7,0.652
2025-02-02,fb_paid,14,0.599
2025-02-03,google / organic,9,0.352
2025-02-03,email / newsletter,7,0.397
2025-02-03,seo,6,0.491
2025-02-03,google / cpc,62,0.524
2025-02-03,Email,4,0.351
2025-02-03,partner-network,10,0.656
2025-02-03,fb_paid,44,0.498
2025-02-04,facebook / paid,29,0.482
2025-02-04,email / newsletter,4,0.466
2025-02-04,affiliate / partner,4,0.601
2025-02-04,googleads,27,0.504
2025-02-04,aff,3,0.685
2025-02-04,Email,2,0.41
2025-02-04,AFFILIATE,2,0.656
2025-02-04,facebook / paid,39,0.501
2025-02-04,seo,18,0.311
2025-02-04,adwords,36,0.499
2025-02-05,facebook / paid,68,0.594
2025-02-05,AFFILIATE,10,0.57
2025-02-05,organic,5,0.384
2025-02-05,organic,2,0.295
2025-02-05,partner-network,6,0.475
2025-02-05,email / newsletter,8,0.318
2025-02-05,AFFILIATE,5,0.646
2025-02-05,google-ads,31,0.456
2025-02-05,google-ads,22,0.45
2025-02-05,googleads,33,0.432
2025-02-05,email / newsletter,8,0.453
2025-02-06,klaviyo,1,0.42
2025-02-06,google / cpc,18,0.477
2025-02-06,meta / social,24,0.485
2025-02-06,FB,33,0.503
2025-02-06,organic,7,0.367
2025-02-06,(organic),4,0.355
2025-02-06,email-campaign,2,0.471
2025-02-06,adwords,23,0.441
2025-02-06,AFFILIATE,31,0.611
2025-02-07,adwords,67,0.514
2025-02-07,FB,51,0.609
2025-02-07,affiliate / partner,5,0.608
2025-02-07,seo,8,0.417
2025-02-07,email-campaign,18,0.358
2025-02-07,aff,4,0.601
2025-02-08,seo,4,0.456
2025-02-08,organic,3,0.454
2025-02-08,partner-network,13,0.602
2025-02-08,google-ads,21,0.478
2025-02-08,fb_paid,23,0.623
2025-02-08,googleads,30,0.441
2025-02-08,Email,7,0.405
2025-02-08,FB,21,0.594
2025-02-09,email / newsletter,9,0.375
2025-02-09,googleads,47,0.396
2025-02-09,fb_paid,28,0.528
2025-02-09,organic,12,0.438
2025-02-09,fb_paid,35,0.628
2025-02-09,aff,16,0.61
2025-02-09,email-campaign,7,0.483
2025-02-10,google / cpc,42,0.519
2025-02-10,aff,8,0.568
2025-02-10,google / organic,4,0.446
2025-02-10,email-campaign,4,0.423
2025-02-10,google / organic,3,0.469
2025-02-10,google / cpc,36,0.564
2025-02-10,klaviyo,6,0.411
2025-02-10,FB,49,0.646
2025-02-11,FB,16,0.597
2025-02-11,aff,14,0.647
2025-02-11,facebook / paid,18,0.534
2025-02-11,affiliate / partner,8,0.641
2025-02-11,google / organic,10,0.3
2025-02-11,adwords,31,0.453
2025-02-11,adwords,36,0.478
2025-02-11,klaviyo,13,0.375
2025-02-12,affiliate / partner,22,0.614
2025-02-12,FB,15,0.597
2025-02-12,fb_paid,14,0.573
2025-02-12,klaviyo,5,0.413
2025-02-12,seo,6,0.469
2025-02-12,(organic),4,0.411
2025-02-12,meta / social,21,0.502
2025-02-12,google-ads,44,0.436
2025-02-12,email-campaign,7,0.434
2025-02-13,Email,7,0.439
2025-02-13,organic,5,0.405
2025-02-13,googleads,28,0.51
2025-02-13,googleads,24,0.481
2025-02-13,AFFILIATE,10,0.632
2025-02-13,google-ads,30,0.501
2025-02-13,FB,44,0.57
2025-02-13,partner-network,9,0.694
2025-02-14,adwords,55,0.448
2025-02-14,seo,9,0.468
2025-02-14,aff,6,0.651
2025-02-14,organic,6,0.433
2025-02-14,FB,62,0.542
2025-02-14,affiliate / partner,7,0.753
2025-02-14,partner-network,9,0.653
2025-02-14,Email,6,0.373
2025-02-14,Email,5,0.372
2025-02-15,AFFILIATE,2,0.645
2025-02-15,partner-network,-8,0.719
2025-02-15,Email,6,0.401
2025-02-15,facebook / paid,48,0.482
2025-02-15,googleads,26,0.477
2025-02-15,google-ads,30,0.453
2025-02-15,seo,8,0.385
2025-02-15,email / newsletter,7,0.456
2025-02-15,partner-network,4,0.68
2025-02-16,partner-network,15,0.593
2025-02-16,googleads,49,0.428
2025-02-16,organic,5,0.409
2025-02-16,AFFILIATE,10,0.694
2025-02-16,Email,2,0.405
2025-02-16,FB,80,0.654
2025-02-16,klaviyo,3,0.457
2025-02-16,googleads,42,0.364
2025-02-16,seo,3,0.387
2025-02-17,fb_paid,26,0.648
2025-02-17,organic,4,0.389
2025-02-17,email / newsletter,4,0.5
2025-02-17,klaviyo,3,0.398
2025-02-17,google / cpc,38,0.44
2025-02-17,aff,14,0.552
2025-02-17,facebook / paid,38,0.544
2025-02-17,seo,7,0.446
2025-02-17,affiliate / partner,8,0.545
2025-02-17,klaviyo,2,0.422
2025-02-17,google / cpc,34,0.468
2025-02-18,email / newsletter,2,0.459
2025-02-18,google-ads,62,0.425
2025-02-18,organic,7,0.369
2025-02-18,fb_paid,16,0.59
2025-02-18,facebook / paid,14,0.573
2025-02-18,fb_paid,9,0.532
2025-02-18,email-campaign,2,0.493
2025-02-18,klaviyo,4,0.365
2025-02-18,AFFILIATE,30,0.626
2025-02-18,google / organic,4,0.311
2025-02-19,googleads,38,0.501
2025-02-19,klaviyo,6,0.449
2025-02-19,meta / social,31,0.521
2025-02-19,meta / social,22,0.66
2025-02-19,klaviyo,3,0.439
2025-02-19,seo,17,0.468
2025-02-19,aff,7,0.584
2025-02-19,FB,27,0.522
2025-02-19,google-ads,40,0.409
2025-02-19,affiliate / partner,12,0.596
2025-02-20,organic,6,0.383
2025-02-20,FB,23,0.603
2025-02-20,organic,4,0.369
2025-02-20,partner-network,8,0.573
2025-02-20,email / newsletter,7,0.431
2025-02-20,affiliate / partner,9,0.64
2025-02-20,affiliate / partner,10,0.685
2025-02-20,google-ads,54,0.434
2025-02-20,facebook / paid,22,0.619
2025-02-21,google / cpc,35,0.485
2025-02-21,google / organic,4,0.338
2025-02-21,google / organic,3,0.362
2025-02-21,googleads,38,0.534
2025-02-21,partner-network,16,0.626
2025-02-21,FB,24,0.57
2025-02-21,facebook / paid,30,0.568
2025-02-21,email-campaign,10,0.363
2025-02-22,google-ads,87,0.526
2025-02-22,affiliate / partner,3,0.591
2025-02-22,email-campaign,3,0.492
2025-02-22,FB,17,0.675
2025-02-22,AFFILIATE,4,0.533
2025-02-22,partner-network,6,0.579
2025-02-22,email / newsletter,3,0.348
2025-02-22,seo,5,0.314
2025-02-22,(organic),8,0.443
2025-02-22,email-campaign,2,0.454
2025-02-22,meta / social,26,0.584
2025-02-23,partner-network,17,0.573
2025-02-23,fb_paid,18,0.627
2025-02-23,google-ads,29,0.465
2025-02-23,FB,18,0.647
2025-02-23,(organic),10,0.309
2025-02-23,FB,21,0.553
2025-02-23,klaviyo,7,0.381
2025-02-23,googleads,23,0.523
2025-02-24,FB,35,0.629
2025-02-24,google / cpc,29,0.491
2025-02-24,facebook / paid,34,0.53
2025-02-24,klaviyo,1,0.377
2025-02-24,google / cpc,26,0.385
2025-02-24,seo,9,0.42
2025-02-24,AFFILIATE,14,0.606
2025-02-24,Email,6,0.441
2025-02-24,googleads,32,0.56
2025-02-24,Email,3,0.484
2025-02-25,google / cpc,45,0.432
2025-02-25,google / organic,14,0.413
2025-02-25,klaviyo,5,0.384
2025-02-25,facebook / paid,61,0.541
2025-02-25,partner-network,31,0.58
2025-02-25,klaviyo,3,0.491
2025-02-25,googleads,23,0.379
2025-02-26,klaviyo,3,0.472
2025-02-26,facebook / paid,21,0.583
2025-02-26,AFFILIATE,22,0.58
2025-02-26,organic,1,0.516
2025-02-26,adwords,37,0.467
2025-02-26,adwords,39,0.336
2025-02-26,email / newsletter,5,0.5
2025-02-26,meta / social,16,0.681
2025-02-26,meta / social,20,0.581
2025-02-26,google / organic,6,0.437
2025-02-27,google-ads,27,0.449
2025-02-27,AFFILIATE,5,0.612
2025-02-27,fb_paid,16,0.611
2025-02-27,Email,3,0.427
2025-02-27,klaviyo,3,0.458
2025-02-27,partner-network,7,0.612
2025-02-27,google-ads,23,0.417
2025-02-27,FB,15,0.479
2025-02-27,FB,14,0.531
2025-02-27,google / organic,9,0.425
2025-02-28,googleads,12,0.469
2025-02-28,aff,10,0.672
2025-02-28,googleads,24,0.526
2025-02-28,affiliate / partner,6,0.764
2025-02-28,klaviyo,5,0.403
2025-02-28,seo,5,0.4
2025-02-28,fb_paid,46,0.627
2025-02-28,klaviyo,1,0.388
2025-02-28,adwords,17,0.569
2025-02-28,organic,6,0.501
2025-02-28,google / organic,5,0.398
2025-03-01,facebook / paid,59,0.581
2025-03-01,seo,2,0.41
2025-03-01,affiliate / partner,10,0.601
2025-03-01,email / newsletter,10,0.429
2025-03-01,affiliate / partner,6,0.584
2025-03-01,seo,5,0.389
2025-03-01,adwords,18,0.474
2025-03-01,googleads,22,0.347
2025-03-01,klaviyo,5,0.442
2025-03-01,affiliate / partner,3,0.679
2025-03-01,google-ads,17,0.478
2025-03-02,AFFILIATE,6,0.577
2025-03-02,google / organic,3,0.31
2025-03-02,AFFILIATE,6,0.703
2025-03-02,adwords,62,0.418
2025-03-02,fb_paid,59,0.625
2025-03-02,seo,3,0.364
2025-03-03,FB,28,0.738
2025-03-03,affiliate / partner,5,0.726
2025-03-03,email / newsletter,15,0.481
2025-03-03,meta / social,29,0.561
2025-03-03,adwords,25,0.445
2025-03-03,google / cpc,38,0.541
2025-03-03,affiliate / partner,6,0.538
2025-03-03,affiliate / partner,10,0.657
2025-03-03,organic,6,0.4
2025-03-04,email / newsletter,7,0.452
2025-03-04,google-ads,13,0.435
2025-03-04,seo,5,0.498
2025-03-04,email-campaign,3,0.411
2025-03-04,facebook / paid,70,0.558
2025-03-04,google / cpc,28,0.45
2025-03-04,adwords,22,0.43
2025-03-04,partner-network,13,0.54
2025-03-04,organic,6,0.433
2025-03-04,AFFILIATE,14,0.62
2025-03-04,email / newsletter,4,0.445
2025-03-05,affiliate / partner,5,0.694
2025-03-05,googleads,33,0.413
2025-03-05,AFFILIATE,11,0.613
2025-03-05,klaviyo,3,0.504
2025-03-05,email / newsletter,8,0.524
2025-03-05,google / cpc,43,0.489
2025-03-05,meta / social,21,0.604
2025-03-05,organic,8,0.288
2025-03-05,FB,18,0.45
2025-03-05,email-campaign,2,0.37
2025-03-06,email / newsletter,5,0.435
2025-03-06,adwords,68,0.523
2025-03-06,facebook / paid,15,0.528
2025-03-06,google / organic,7,0.373
2025-03-06,partner-network,3,0.675
2025-03-06,FB,24,0.608
2025-03-06,partner-network,9,0.595
2025-03-06,facebook / paid,19,0.58
2025-03-06,email / newsletter,5,0.458
2025-03-07,email / newsletter,9,0.476
2025-03-07,FB,17,0.552
2025-03-07,klaviyo,7,0.434
2025-03-07,googleads,36,0.555
2025-03-07,(organic),7,0.473
2025-03-07,facebook / paid,24,0.464
2025-03-07,aff,7,0.581
2025-03-07,meta / social,17,0.62
2025-03-07,affiliate / partner,7,0.655
2025-03-07,googleads,41,0.47
2025-03-08,AFFILIATE,6,0.51
2025-03-08,Email,11,0.415
2025-03-08,googleads,52,0.515
2025-03-08,meta / social,48,0.661
2025-03-08,(organic),2,0.369
2025-03-08,AFFILIATE,9,0.577
2025-03-08,(organic),4,0.35
2025-03-09,google / organic,10,0.488
2025-03-09,FB,17,0.603
2025-03-09,partner-network,6,0.653
2025-03-09,adwords,87,0.503
2025-03-09,facebook / paid,16,0.539
2025-03-09,AFFILIATE,4,0.713
2025-03-09,Email,15,0.479
2025-03-09,facebook / paid,18,0.61
2025-03-09,AFFILIATE,4,0.514
2025-03-10,email-campaign,10,0.425
2025-03-10,google / organic,6,0.316
2025-03-10,Email,8,0.456
2025-03-10,(organic),6,0.471
2025-03-10,fb_paid,58,0.67
2025-03-10,googleads,56,0.46
2025-03-10,partner-network,16,0.611
2025-03-11,email / newsletter,3,0.481
2025-03-11,organic,7,0.418
2025-03-11,adwords,25,0.457
2025-03-11,organic,12,0.272
2025-03-11,klaviyo,7,0.41
2025-03-11,fb_paid,97,0.616
2025-03-11,google / cpc,26,0.454
2025-03-11,partner-network,20,0.602
2025-03-11,googleads,23,0.463
2025-03-12,aff,6,0.628
2025-03-12,email-campaign,10,0.479
2025-03-12,facebook / paid,76,0.527
2025-03-12,seo,5,0.382
2025-03-12,email / newsletter,7,0.483
2025-03-12,partner-network,4,0.572
2025-03-12,organic,2,0.434
2025-03-12,(organic),3,0.429
2025-03-12,googleads,42,0.458
2025-03-13,AFFILIATE,2,0.604
2025-03-13,Email,6,0.503
2025-03-13,facebook / paid,79,0.523
2025-03-13,(organic),5,0.378
2025-03-13,klaviyo,7,0.36
2025-03-13,googleads,79,0.494
2025-03-13,partner-network,6,0.744
2025-03-13,(organic),3,0.389
2025-03-13,affiliate / partner,10,0.636
2025-03-14,google / organic,-7,0.406
2025-03-14,email / newsletter,3,0.368
2025-03-14,partner-network,5,0.632
2025-03-14,aff,8,0.631
2025-03-14,adwords,72,0.395
2025-03-14,fb_paid,18,0.512
2025-03-14,email-campaign,3,0.348
2025-03-14,facebook / paid,29,0.527
2025-03-15,fb_paid,29,0.6
2025-03-15,organic,3,0.47
2025-03-15,google / organic,3,0.406
2025-03-15,affiliate / partner,7,0.718
2025-03-15,adwords,30,0.414
2025-03-15,Email,4,0.428
2025-03-15,googleads,32,0.444
2025-03-15,fb_paid,20,0.437
2025-03-15,Email,8,0.452
2025-03-16,google / cpc,19,0.462
2025-03-16,seo,10,0.414
2025-03-16,meta / social,23,0.635
2025-03-16,partner-network,10,0.506
2025-03-16,googleads,20,0.534
2025-03-16,affiliate / partner,5,0.68
2025-03-16,Email,5,0.451
2025-03-16,google / cpc,16,0.485
2025-03-16,meta / social,32,0.478
2025-03-16,email / newsletter,6,0.456
2025-03-17,email / newsletter,4,0.437
2025-03-17,googleads,16,0.483
2025-03-17,FB,45,0.682
2025-03-17,aff,10,0.628
2025-03-17,google / cpc,19,0.403
2025-03-17,google / cpc,24,0.367
2025-03-17,(organic),12,0.421
2025-03-17,seo,5,0.419
2025-03-17,aff,7,0.655
2025-03-17,facebook / paid,36,0.576
2025-03-17,klaviyo,9,0.451
2025-03-18,google-ads,44,0.42
2025-03-18,email-campaign,10,0.45
2025-03-18,fb_paid,45,0.563
2025-03-18,affiliate / partner,7,0.707
2025-03-18,AFFILIATE,5,0.629
2025-03-18,email / newsletter,10,0.536
2025-03-18,organic,10,0.444
2025-03-18,google / cpc,52,0.559
2025-03-18,meta / social,41,0.411
2025-03-18,aff,10,0.702
2025-03-19,partner-network,9,0.572
2025-03-19,google / cpc,37,0.46
2025-03-19,Email,6,0.496
2025-03-19,email-campaign,1,0.501
2025-03-19,affiliate / partner,6,0.703
2025-03-19,meta / social,37,0.668
2025-03-19,googleads,25,0.368
2025-03-19,meta / social,27,0.633
2025-03-19,google / organic,8,0.419
2025-03-19,partner-network,5,0.723
2025-03-20,fb_paid,45,0.578
2025-03-20,aff,13,0.538
2025-03-20,seo,9,0.454
2025-03-20,affiliate / partner,8,0.664
2025-03-20,facebook / paid,34,0.504
2025-03-20,google / organic,4,0.36
2025-03-20,google-ads,24,0.554
2025-03-20,klaviyo,11,0.338
2025-03-20,adwords,24,0.461
2025-03-21,organic,12,0.337
2025-03-21,email / newsletter,15,0.522
2025-03-21,adwords,36,0.451
2025-03-21,meta / social,74,0.611
2025-03-21,aff,15,0.561
2025-03-21,google-ads,25,0.513
2025-03-22,(organic),9,0.434
2025-03-22,email-campaign,8,0.425
2025-03-22,google / cpc,28,0.539
2025-03-22,fb_paid,42,0.565
2025-03-22,partner-network,8,0.546
2025-03-22,fb_paid,41,0.629
2025-03-22,email-campaign,5,0.381
2025-03-22,partner-network,6,0.651
2025-03-22,google-ads,32,0.436
2025-03-23,meta / social,23,0.649
2025-03-23,google / organic,3,0.401
2025-03-23,google / cpc,38,0.462
2025-03-23,fb_paid,30,0.527
2025-03-23,(organic),4,0.455
2025-03-23,email / newsletter,8,0.443
2025-03-23,affiliate / partner,7,0.64
2025-03-23,partner-network,5,0.68
2025-03-23,partner-network,4,0.575
2025-03-23,adwords,35,0.527
2025-03-23,email / newsletter,9,0.484
2025-03-24,email / newsletter,7,0.374
2025-03-24,google-ads,31,0.468
2025-03-24,google / organic,3,0.419
2025-03-24,google / organic,3,0.377
2025-03-24,affiliate / partner,4,0.551
2025-03-24,facebook / paid,16,0.501
2025-03-24,google-ads,45,0.501
2025-03-24,fb_paid,19,0.549
2025-03-24,klaviyo,7,0.311
2025-03-24,partner-network,6,0.65
2025-03-24,FB,13,0.58
2025-03-24,organic,3,0.378
2025-03-25,fb_paid,80,0.664
2025-03-25,affiliate / partner,5,0.531
2025-03-25,google-ads,26,0.447
2025-03-25,email / newsletter,7,0.559
2025-03-25,klaviyo,4,0.368
2025-03-25,google / organic,11,0.373
