order_id,order_date,customer_id,channel,revenue,region
ORD-101158,11/27/2025,CUST-11047,FB Ads,252.61,Southeast
ORD-101327,12/31/2025,CUST-10856,Meta,250.04,Midwest
ORD-100196,03/13/2025,CUST-10249,GoogleAds,138.32,Southeast
ORD-101817,05/21/2026,CUST-10538,E-mail,544.51,Northeast
ORD-100237,03/22/2025,CUST-11224,Organic,415.15,Midwest
ORD-100788,08/29/2025,CUST-10932,AFFILIATE,209.73,Northeast
ORD-100720,08/08/2025,CUST-10583,FB Ads,77.07,West
ORD-101295,12/26/2025,CUST-11069,meta_ads,229.22,Southeast
ORD-101409,01/27/2026,CUST-10836,Facebook,224.48,Midwest
ORD-101704,04/21/2026,CUST-10875,google_ads,209.69,Midwest
ORD-100544,06/18/2025,CUST-10543,google_ads,438.74,Northeast
ORD-101260,12/18/2025,CUST-10939,EMAIL,100.25,Northeast
ORD-101884,06/09/2026,CUST-10871,Organic,278.34,Midwest
ORD-101306,12/28/2025,CUST-11263,FB Ads,471.49,Southeast
ORD-100845,09/14/2025,CUST-10846,email_marketing,135.7,
ORD-100841,09/13/2025,CUST-10025,google_ads,169.81,
ORD-101317,12/30/2025,CUST-10625,email_marketing,224.25,West
ORD-101545,03/09/2026,CUST-10100,email_marketing,187.13,Midwest
ORD-101647,04/03/2026,CUST-10953,meta_ads,227.06,Southeast
ORD-101733,04/28/2026,CUST-10629,Meta,229.88,Northeast
ORD-101056,11/06/2025,CUST-10377,GOOGLE ADS,502.49,Midwest
ORD-101793,05/15/2026,CUST-11264,GoogleAds,204.88,Northeast
ORD-100172,03/02/2025,CUST-10209,Facebook,309.53,Midwest
ORD-101787,05/13/2026,CUST-10417,GOOGLE ADS,243.81,Midwest
ORD-100835,09/10/2025,CUST-10928,FB Ads,175.35,Southwest
ORD-100441,05/21/2025,CUST-10874,Google Ads,182.39,Southeast
ORD-101554,03/11/2026,CUST-11189,meta_ads,411.9,Southeast
ORD-101375,01/16/2026,CUST-10046,Affiliates,111.6,Southeast
ORD-100789,08/29/2025,CUST-10790,GOOGLE ADS,430.84,Midwest
ORD-100185,03/07/2025,CUST-10193,GoogleAds,187.61,West
ORD-100438,05/20/2025,CUST-10197,GOOGLE ADS,587.82,Southeast
ORD-100372,05/01/2025,CUST-10975,Facebook,164.98,Northeast
ORD-100140,02/19/2025,CUST-10409,google_ads,409.73,Southeast
ORD-101277,12/23/2025,CUST-10718,GOOGLE ADS,107.75,Southeast
ORD-101396,01/23/2026,CUST-10519,FB Ads,797.08,Southeast
ORD-101469,02/16/2026,CUST-10959,GOOGLE ADS,284.68,
ORD-100586,07/01/2025,CUST-10962,google_ads,771.04,Midwest
ORD-100848,09/14/2025,CUST-10521,EMAIL,415.21,West
ORD-100299,04/10/2025,CUST-10073,meta_ads,141.95,West
ORD-100795,09/01/2025,CUST-10716,email_marketing,95.84,Northeast
ORD-101412,01/29/2026,CUST-10938,GOOGLE ADS,321.01,West
ORD-100353,04/24/2025,CUST-11296,meta_ads,193.44,West
ORD-101070,11/10/2025,CUST-11264,GoogleAds,224.43,Southwest
ORD-101464,02/15/2026,CUST-10538,GOOGLE ADS,315.07,Southeast
ORD-101686,04/16/2026,CUST-10933,GoogleAds,419.66,West
ORD-101844,05/29/2026,CUST-10814,Facebook,255.49,Southwest
ORD-100957,10/12/2025,CUST-10249,google_ads,308.03,Southeast
ORD-101534,03/06/2026,CUST-10551,GoogleAds,230.74,West
ORD-101682,04/15/2026,CUST-10039,organic_search,338.68,West
ORD-100715,08/07/2025,CUST-11100,meta_ads,277.72,Southeast
ORD-101432,02/04/2026,CUST-10409,FB Ads,227.63,Midwest
ORD-100423,05/15/2025,CUST-10891,email_marketing,143.92,West
ORD-100311,04/13/2025,CUST-10021,GOOGLE ADS,252.06,Northeast
ORD-101323,12/31/2025,CUST-10573,google_ads,436.81,Southwest
ORD-101381,01/18/2026,CUST-10301,Affiliates,238.01,Northeast
ORD-101680,04/15/2026,CUST-10970,FB Ads,125.49,Southeast
ORD-100037,01/19/2025,CUST-10665,email_marketing,353.45,Northeast
ORD-100527,06/14/2025,CUST-10379,Google Ads,110.58,Midwest
ORD-100691,07/31/2025,CUST-10977,GoogleAds,291.76,Northeast
ORD-101240,12/14/2025,CUST-10363,email_marketing,577.37,West
ORD-100707,08/04/2025,CUST-10772,Meta,302.47,Southwest
ORD-100058,01/23/2025,CUST-10280,organic_search,447.39,
ORD-101496,02/24/2026,CUST-11092,Email,469.34,Midwest
ORD-101210,12/07/2025,CUST-11053,email_marketing,146.73,West
ORD-100127,02/14/2025,CUST-10136,GoogleAds,146.35,West
ORD-100447,05/23/2025,CUST-10705,meta_ads,204.17,Midwest
ORD-100397,05/07/2025,CUST-10875,affiliate,192.56,Northeast
ORD-100229,03/22/2025,CUST-11296,EMAIL,388.76,West
ORD-101836,05/27/2026,CUST-10086,organic_search,289.69,Northeast
ORD-100034,01/17/2025,CUST-10186,affiliate,223.28,Northeast
ORD-100970,10/16/2025,CUST-10634,GoogleAds,384.61,Southwest
ORD-101485,02/21/2026,CUST-10486,EMAIL,136.46,Northeast
ORD-101150,11/25/2025,CUST-10005,google_ads,139.41,Midwest
ORD-101805,05/18/2026,CUST-11189,GOOGLE ADS,273.37,Northeast
ORD-100748,08/19/2025,CUST-10380,E-mail,500.55,Southwest
ORD-101920,06/16/2026,CUST-10564,Facebook,111.67,Northeast
ORD-100590,07/02/2025,CUST-11211,GOOGLE ADS,254.51,Southeast
ORD-100857,09/16/2025,CUST-11286,GOOGLE ADS,320.85,Midwest
ORD-100410,05/12/2025,CUST-10059,GOOGLE ADS,400.32,West
ORD-101106,11/18/2025,CUST-10240,Facebook,63.41,Midwest
ORD-101784,05/12/2026,CUST-10641,Facebook,210.5,Southeast
ORD-101399,01/23/2026,CUST-10780,Google Ads,191.68,Southeast
ORD-100928,10/05/2025,CUST-10818,google_ads,128.61,West
ORD-100007,01/05/2025,CUST-10123,Email,338.99,West
ORD-100721,08/08/2025,CUST-10684,GoogleAds,145.5,Southeast
ORD-101441,02/07/2026,CUST-10335,Google Ads,163.22,Northeast
ORD-101935,06/20/2026,CUST-10338,Facebook,202.36,Southwest
ORD-100971,10/16/2025,CUST-10916,Google Ads,260.22,Northeast
ORD-101444,02/08/2026,CUST-11086,google_ads,361.09,Southwest
ORD-100572,06/28/2025,CUST-10307,affiliate,143.83,Southwest
ORD-101951,06/25/2026,CUST-10197,Meta,125.39,West
ORD-101814,05/20/2026,CUST-10964,GOOGLE ADS,300.84,Northeast
ORD-101420,02/01/2026,CUST-10804,FB Ads,186.92,Southeast
ORD-101576,03/16/2026,CUST-11130,Google Ads,300.42,Northeast
ORD-100020,01/11/2025,CUST-10086,organic_search,258.4,West
ORD-100452,05/25/2025,CUST-10587,Organic Search,160.4,West
ORD-100375,05/02/2025,CUST-10793,google_ads,586.61,Midwest
ORD-101044,11/04/2025,CUST-10030,google_ads,273.29,West
ORD-101852,05/31/2026,CUST-10396,Affiliate,124.27,Midwest
ORD-100892,09/25/2025,CUST-10744,Facebook,149.45,West
ORD-101877,06/07/2026,CUST-10521,E-mail,233.73,Midwest
ORD-100470,05/29/2025,CUST-10868,google_ads,107.05,Northeast
ORD-100925,10/04/2025,CUST-11028,Facebook,234.28,
ORD-100983,10/19/2025,CUST-10621,Facebook,88.09,West
ORD-101853,06/01/2026,CUST-10273,email_marketing,214.33,Midwest
ORD-100360,04/28/2025,CUST-11068,EMAIL,163.08,Southeast
ORD-100797,09/01/2025,CUST-10089,FB Ads,193.54,West
ORD-101390,01/21/2026,CUST-10823,Organic,194.84,Southeast
ORD-100479,05/30/2025,CUST-10959,Facebook,294.98,Northeast
ORD-101571,03/15/2026,CUST-11098,Google Ads,360.12,Southeast
ORD-100738,08/15/2025,CUST-10280,ORGANIC,458.52,West
ORD-100057,01/22/2025,CUST-10751,Meta,398.68,Midwest
ORD-101594,03/22/2026,CUST-11202,GoogleAds,272.02,Midwest
ORD-101195,12/03/2025,CUST-10543,Google Ads,190.75,Midwest
ORD-100262,03/29/2025,CUST-10683,Organic Search,227.74,Southeast
ORD-100241,03/24/2025,CUST-11124,GOOGLE ADS,495.1,Northeast
ORD-101363,01/11/2026,CUST-11061,FB Ads,243.78,Midwest
ORD-101350,01/06/2026,CUST-10998,meta_ads,273.82,Northeast
ORD-101064,11/09/2025,CUST-10461,meta_ads,784.61,Southeast
ORD-100653,07/22/2025,CUST-11087,google_ads,348.64,West
ORD-101741,04/30/2026,CUST-10247,meta_ads,334.75,Midwest
ORD-100051,01/22/2025,CUST-10005,Facebook,377.0,Northeast
ORD-100036,01/19/2025,CUST-10733,organic_search,253.38,Northeast
ORD-100620,07/13/2025,CUST-10225,Meta,638.11,
ORD-101271,12/21/2025,CUST-10609,email_marketing,528.0,Midwest
ORD-101757,05/03/2026,CUST-10972,GoogleAds,417.23,Northeast
ORD-100862,09/18/2025,CUST-10521,organic_search,345.44,Southeast
ORD-100638,07/18/2025,CUST-10938,Google Ads,668.88,Northeast
ORD-101636,04/02/2026,CUST-10776,Google Ads,208.03,Northeast
ORD-101116,11/20/2025,CUST-11116,Affiliates,163.71,Southwest
ORD-100735,08/13/2025,CUST-10109,meta_ads,129.68,Southeast
ORD-100206,03/16/2025,CUST-10991,affiliate,426.0,Midwest
ORD-101308,12/28/2025,CUST-10814,Google Ads,296.15,Midwest
ORD-101887,06/09/2026,CUST-10306,Email,326.76,Southeast
ORD-100945,10/10/2025,CUST-10424,ORGANIC,359.02,Southeast
ORD-101231,12/12/2025,CUST-10961,FB Ads,91.88,Southwest
ORD-100747,08/19/2025,CUST-10743,google_ads,223.15,West
ORD-100921,10/02/2025,CUST-11145,Google Ads,167.76,Midwest
ORD-101705,04/21/2026,CUST-10938,Organic,379.63,Midwest
ORD-100146,02/19/2025,CUST-10857,GOOGLE ADS,316.01,Northeast
ORD-100278,04/04/2025,CUST-10905,GOOGLE ADS,199.53,West
ORD-100430,05/17/2025,CUST-10307,Facebook,90.97,Northeast
ORD-100623,07/13/2025,CUST-10076,meta_ads,166.33,Northeast
ORD-100377,05/03/2025,CUST-10433,Email,323.64,West
ORD-101842,05/29/2026,CUST-11234,Google Ads,218.06,Southeast
ORD-100744,08/18/2025,CUST-11109,GOOGLE ADS,393.73,Southeast
ORD-100374,05/02/2025,CUST-10031,GOOGLE ADS,188.6,Southeast
ORD-100367,05/01/2025,CUST-10095,Google Ads,513.99,Southeast
ORD-100816,09/04/2025,CUST-10378,Facebook,283.34,Northeast
ORD-101905,06/13/2026,CUST-10730,Google Ads,469.32,Northeast
ORD-100259,03/29/2025,CUST-11229,GOOGLE ADS,88.59,Southwest
ORD-101622,03/30/2026,CUST-10312,EMAIL,435.81,Northeast
ORD-101526,03/04/2026,CUST-10821,Google Ads,437.67,Midwest
ORD-101436,02/05/2026,CUST-10887,Meta,231.66,West
ORD-100875,09/20/2025,CUST-10739,meta_ads,132.53,West
ORD-101139,11/23/2025,CUST-10234,meta_ads,141.53,Midwest
ORD-101832,05/26/2026,CUST-10004,meta_ads,90.97,Southeast
ORD-100651,07/21/2025,CUST-11057,google_ads,182.17,Northeast
ORD-101839,05/28/2026,CUST-10836,AFFILIATE,143.9,West
ORD-100217,03/19/2025,CUST-10514,GOOGLE ADS,201.29,Southwest
ORD-101944,06/23/2026,CUST-10708,Organic Search,378.54,Northeast
ORD-100141,02/19/2025,CUST-10381,E-mail,254.54,Southeast
ORD-100339,04/22/2025,CUST-10391,FB Ads,161.41,West
ORD-101109,11/18/2025,CUST-11137,Organic,396.28,West
ORD-100119,02/11/2025,CUST-10875,affiliate,145.59,West
ORD-100313,04/13/2025,CUST-10975,ORGANIC,217.47,Midwest
ORD-101118,11/20/2025,CUST-10507,google_ads,226.7,
ORD-100528,06/14/2025,CUST-10403,Email,178.41,Southeast
ORD-100344,04/22/2025,CUST-10297,GoogleAds,313.26,West
ORD-100997,10/23/2025,CUST-11278,Organic Search,194.54,Southeast
ORD-100872,09/20/2025,CUST-10498,GOOGLE ADS,689.58,Midwest
ORD-101827,05/25/2026,CUST-10227,FB Ads,153.46,Northeast
ORD-101913,06/14/2026,CUST-10078,GOOGLE ADS,381.99,West
ORD-101587,03/19/2026,CUST-10749,FB Ads,204.21,West
ORD-101128,11/21/2025,CUST-10301,FB Ads,133.44,West
ORD-100666,07/25/2025,CUST-11145,EMAIL,414.84,Northeast
ORD-101276,12/22/2025,CUST-10315,google_ads,319.97,Midwest
ORD-101010,10/28/2025,CUST-10549,Facebook,214.42,Midwest
ORD-100450,05/25/2025,CUST-10239,GoogleAds,265.03,Northeast
ORD-100179,03/05/2025,CUST-10775,E-mail,330.18,West
ORD-101484,02/21/2026,CUST-11165,AFFILIATE,142.98,Southeast
ORD-100454,05/25/2025,CUST-10639,google_ads,200.41,Southeast
ORD-101078,11/11/2025,CUST-10499,GoogleAds,656.11,Northeast
ORD-100635,07/18/2025,CUST-10419,google_ads,123.86,Northeast
ORD-100328,04/18/2025,CUST-10153,GOOGLE ADS,362.01,Southwest
ORD-100734,08/13/2025,CUST-11281,Facebook,151.01,Southeast
ORD-100578,06/29/2025,CUST-10998,EMAIL,162.26,Southwest
ORD-101122,11/20/2025,CUST-10630,FB Ads,237.85,West
ORD-101706,04/21/2026,CUST-10894,GOOGLE ADS,557.47,West
ORD-101653,04/06/2026,CUST-10718,google_ads,523.28,West
ORD-101575,03/16/2026,CUST-10804,meta_ads,316.05,Southeast
ORD-100071,01/28/2025,CUST-10148,Meta,257.34,West
ORD-100562,06/24/2025,CUST-10970,AFFILIATE,186.13,West
ORD-100765,08/23/2025,CUST-10414,E-mail,322.47,Midwest
ORD-100392,05/07/2025,CUST-11242,organic_search,679.21,Southeast
ORD-100474,05/30/2025,CUST-11130,google_ads,311.05,Northeast
ORD-100426,05/16/2025,CUST-10371,FB Ads,457.55,Southeast
ORD-101874,06/06/2026,CUST-10600,Google Ads,335.69,Southeast
ORD-101461,02/14/2026,CUST-10253,Google Ads,443.89,Northeast
ORD-100200,03/14/2025,CUST-11092,GOOGLE ADS,191.34,Northeast
ORD-100565,06/24/2025,CUST-10552,GoogleAds,245.85,Southwest
ORD-101251,12/16/2025,CUST-10859,Meta,115.54,Southeast
ORD-101113,11/19/2025,CUST-10495,Google Ads,170.14,Southeast
ORD-100308,04/12/2025,CUST-10720,meta_ads,139.83,Southeast
ORD-101261,12/18/2025,CUST-10036,Email,265.51,Northeast
ORD-101380,01/18/2026,CUST-10661,email_marketing,405.91,Southeast
ORD-101690,04/17/2026,CUST-11130,google_ads,200.98,Midwest
ORD-100800,09/01/2025,CUST-10814,GoogleAds,297.41,West
ORD-100603,07/06/2025,CUST-10832,meta_ads,289.39,
ORD-100769,08/24/2025,CUST-10583,E-mail,303.71,Southwest
ORD-101628,03/31/2026,CUST-10165,FB Ads,186.35,West
ORD-100116,02/11/2025,CUST-10061,FB Ads,96.41,Northeast
ORD-101226,12/11/2025,CUST-10732,Facebook,322.13,West
ORD-100298,04/10/2025,CUST-11126,GOOGLE ADS,538.15,Midwest
ORD-101660,04/08/2026,CUST-10225,google_ads,498.76,
ORD-100501,06/08/2025,CUST-10388,GOOGLE ADS,178.29,Midwest
ORD-101530,03/06/2026,CUST-11151,GoogleAds,458.57,Southeast
ORD-101159,11/27/2025,CUST-10333,email_marketing,106.71,Northeast
ORD-100004,01/03/2025,CUST-11170,Google Ads,243.74,West
ORD-101186,12/02/2025,CUST-10193,Google Ads,352.82,Northeast
ORD-100507,06/09/2025,CUST-10049,Google Ads,229.03,Southeast
ORD-100046,01/21/2025,CUST-11094,google_ads,293.53,Midwest
ORD-101436,02/05/2026,CUST-10887,meta_ads,237.74,West
ORD-101269,12/20/2025,CUST-10312,Google Ads,99.55,West
ORD-101825,05/24/2026,CUST-10021,ORGANIC,225.6,West
ORD-100431,05/17/2025,CUST-11269,FB Ads,361.95,Northeast
ORD-101022,10/31/2025,CUST-11102,Google Ads,191.06,Southeast
ORD-100330,04/19/2025,CUST-10798,E-mail,326.92,Southeast
ORD-101599,03/23/2026,CUST-10532,Affiliate,356.63,Northeast
ORD-101401,01/24/2026,CUST-10772,Affiliates,124.35,Northeast
ORD-100593,07/03/2025,CUST-11151,google_ads,387.81,Northeast
ORD-100561,06/24/2025,CUST-10497,affiliate,173.49,Midwest
ORD-101588,03/19/2026,CUST-11033,google_ads,387.7,West
ORD-100194,03/13/2025,CUST-11282,meta_ads,130.24,Northeast
ORD-101957,06/30/2026,CUST-11157,Google Ads,191.02,Northeast
ORD-101215,12/08/2025,CUST-11078,google_ads,314.25,Southeast
ORD-101491,02/22/2026,CUST-10922,Affiliates,524.08,Northeast
ORD-100351,04/24/2025,CUST-10975,google_ads,227.44,Southwest
ORD-101011,10/28/2025,CUST-11045,google_ads,274.03,Southeast
ORD-100463,05/27/2025,CUST-10540,GOOGLE ADS,189.38,Northeast
ORD-101781,05/11/2026,CUST-10193,meta_ads,243.93,Southeast
ORD-100465,05/28/2025,CUST-10959,Google Ads,136.63,West
ORD-101042,11/03/2025,CUST-10743,email_marketing,315.52,Southwest
ORD-100341,04/22/2025,CUST-10785,google_ads,246.42,Southwest
ORD-101796,05/16/2026,CUST-10239,GoogleAds,440.02,Southwest
ORD-100396,05/07/2025,CUST-11280,Google Ads,248.72,Northeast
ORD-100109,02/09/2025,CUST-10044,FB Ads,198.32,Northeast
ORD-101340,01/04/2026,CUST-10935,FB Ads,142.24,West
ORD-101577,03/16/2026,CUST-10225,google_ads,96.45,Southeast
ORD-101729,04/27/2026,CUST-10798,google_ads,89.04,West
ORD-101336,01/03/2026,CUST-11009,AFFILIATE,183.85,Southwest
ORD-100540,06/17/2025,CUST-10665,E-mail,272.74,Midwest
ORD-100471,05/30/2025,CUST-10659,GoogleAds,95.29,Northeast
ORD-101241,12/14/2025,CUST-11159,E-mail,230.55,Southeast
ORD-100095,02/05/2025,CUST-10691,Google Ads,203.39,Midwest
ORD-101638,04/02/2026,CUST-10595,ORGANIC,250.88,West
ORD-101509,02/28/2026,CUST-10582,meta_ads,529.65,Northeast
ORD-100019,01/11/2025,CUST-10240,Google Ads,360.41,Southeast
ORD-100663,07/23/2025,CUST-10334,google_ads,338.55,Southwest
ORD-101830,05/26/2026,CUST-11078,organic_search,305.18,
ORD-101928,06/18/2026,CUST-10228,FB Ads,186.43,Southeast
ORD-101124,11/21/2025,CUST-10581,FB Ads,294.02,Northeast
ORD-101257,12/17/2025,CUST-11285,Organic Search,184.08,Southeast
ORD-100340,04/22/2025,CUST-10917,Google Ads,590.08,Midwest
ORD-101601,03/23/2026,CUST-11295,Organic,266.29,Midwest
ORD-100947,10/10/2025,CUST-11109,google_ads,536.65,Northeast
ORD-101589,03/19/2026,CUST-10424,organic_search,241.9,Northeast
ORD-100222,03/20/2025,CUST-10323,meta_ads,75.61,West
ORD-101077,11/11/2025,CUST-10049,FB Ads,107.67,West
ORD-100669,07/25/2025,CUST-10164,Organic,381.42,Southeast
ORD-101038,11/03/2025,CUST-10370,GOOGLE ADS,338.85,Northeast
ORD-100684,07/29/2025,CUST-11032,GoogleAds,225.9,Northeast
ORD-100111,02/09/2025,CUST-10455,GoogleAds,217.47,Northeast
ORD-101529,03/05/2026,CUST-10435,Facebook,475.97,Southeast
ORD-100412,05/12/2025,CUST-10629,Facebook,190.74,Southeast
ORD-100358,04/27/2025,CUST-10828,google_ads,187.34,Southeast
ORD-100287,04/07/2025,CUST-10034,Google Ads,216.67,Northeast
ORD-101304,12/28/2025,CUST-10538,AFFILIATE,78.84,Midwest
ORD-100887,09/24/2025,CUST-10579,GoogleAds,183.86,Southeast
ORD-100488,06/02/2025,CUST-10639,Email,677.88,Southeast
ORD-100419,05/14/2025,CUST-10625,Affiliates,222.9,Southeast
ORD-100415,05/13/2025,CUST-11264,FB Ads,482.14,West
ORD-101382,01/18/2026,CUST-10371,Affiliates,305.78,
ORD-101845,05/30/2026,CUST-11079,Organic,170.98,Southwest
ORD-100746,08/19/2025,CUST-10289,Affiliates,190.14,Southeast
ORD-101820,05/21/2026,CUST-10048,meta_ads,229.69,Northeast
ORD-100017,01/10/2025,CUST-10130,GOOGLE ADS,231.21,Northeast
ORD-101499,02/25/2026,CUST-11031,GoogleAds,228.58,Midwest
ORD-101930,06/19/2026,CUST-11041,GOOGLE ADS,183.34,Southwest
ORD-101894,06/11/2026,CUST-11228,meta_ads,309.64,Southeast
ORD-100898,09/27/2025,CUST-11083,FB Ads,168.65,Midwest
ORD-100514,06/11/2025,CUST-10978,Meta,194.65,Northeast
ORD-100525,06/13/2025,CUST-10069,Google Ads,152.71,West
ORD-101609,03/27/2026,CUST-10227,AFFILIATE,140.04,West
ORD-100054,01/22/2025,CUST-10001,Google Ads,196.42,Northeast
ORD-100263,03/30/2025,CUST-11177,Email,347.28,Southwest
ORD-100101,02/06/2025,CUST-10141,Google Ads,283.21,Midwest
ORD-100275,04/03/2025,CUST-10723,Google Ads,715.03,Southeast
ORD-100858,09/16/2025,CUST-11278,Meta,209.67,Southwest
ORD-100951,10/11/2025,CUST-11279,GOOGLE ADS,354.84,West
ORD-100249,03/26/2025,CUST-10549,FB Ads,319.79,Southeast
ORD-100967,10/15/2025,CUST-10932,organic_search,427.09,
ORD-101417,01/31/2026,CUST-10424,GOOGLE ADS,333.2,Northeast
ORD-100386,05/05/2025,CUST-10981,organic_search,676.68,Northeast
ORD-100556,06/21/2025,CUST-10230,google_ads,194.2,Northeast
ORD-101395,01/23/2026,CUST-10720,GOOGLE ADS,97.4,Southeast
ORD-101049,11/05/2025,CUST-10963,EMAIL,439.38,Midwest
ORD-101752,05/02/2026,CUST-10144,Google Ads,179.78,West
ORD-101343,01/05/2026,CUST-10197,Organic,305.31,Southwest
ORD-100060,01/23/2025,CUST-10334,FB Ads,336.2,Midwest
ORD-100363,04/28/2025,CUST-10334,organic_search,259.31,Southeast
ORD-101183,12/01/2025,CUST-10469,Affiliates,177.26,West
ORD-101659,04/08/2026,CUST-10996,E-mail,337.83,Northeast
ORD-100210,03/17/2025,CUST-10800,organic_search,216.18,Southeast
ORD-100281,04/04/2025,CUST-10757,GoogleAds,91.26,West
ORD-101414,01/30/2026,CUST-10853,meta_ads,254.6,
ORD-100637,07/18/2025,CUST-10477,Google Ads,289.04,Southwest
ORD-100517,06/11/2025,CUST-10706,GoogleAds,62.84,Midwest
ORD-101293,12/26/2025,CUST-10770,GOOGLE ADS,183.02,Southeast
ORD-101227,12/11/2025,CUST-10160,Facebook,217.01,Midwest
ORD-101008,10/27/2025,CUST-11299,Email,98.35,Southwest
ORD-101324,12/31/2025,CUST-10338,Google Ads,82.84,Southeast
ORD-101669,04/11/2026,CUST-11204,GoogleAds,522.74,West
ORD-100324,04/17/2025,CUST-10270,GoogleAds,195.88,Midwest
ORD-100504,06/09/2025,CUST-10731,Google Ads,194.26,Southeast
ORD-101687,04/17/2026,CUST-10293,GOOGLE ADS,113.1,West
ORD-100028,01/14/2025,CUST-11147,EMAIL,409.07,Northeast
ORD-101623,03/31/2026,CUST-11053,Meta,219.47,West
ORD-100587,07/01/2025,CUST-10586,Google Ads,270.54,Northeast
ORD-101192,12/02/2025,CUST-10095,GoogleAds,483.49,
ORD-100728,08/11/2025,CUST-11067,GoogleAds,132.45,Southeast
ORD-101777,05/10/2026,CUST-10228,Google Ads,279.91,West
ORD-100224,03/20/2025,CUST-10290,FB Ads,116.41,Northeast
ORD-101854,06/01/2026,CUST-10054,meta_ads,463.85,West
ORD-101173,11/30/2025,CUST-11257,Email,291.18,Midwest
ORD-100820,09/06/2025,CUST-10461,E-mail,178.33,Southeast
ORD-100856,09/16/2025,CUST-10133,GOOGLE ADS,168.62,Midwest
ORD-101732,04/28/2026,CUST-10424,Affiliates,160.74,Northeast
ORD-101471,02/16/2026,CUST-10034,meta_ads,599.78,Southeast
ORD-101747,05/02/2026,CUST-10844,GoogleAds,311.34,Northeast
ORD-101841,05/28/2026,CUST-10473,Affiliates,207.72,Southeast
ORD-101799,05/17/2026,CUST-11111,FB Ads,102.77,Southeast
ORD-100399,05/09/2025,CUST-10152,E-mail,356.67,Northeast
ORD-100860,09/17/2025,CUST-10959,GOOGLE ADS,532.33,Midwest
ORD-100151,02/21/2025,CUST-10306,Google Ads,179.12,West
ORD-100215,03/18/2025,CUST-10692,email_marketing,158.75,West
ORD-100098,02/05/2025,CUST-10509,GOOGLE ADS,124.78,Southeast
ORD-100492,06/02/2025,CUST-11123,FB Ads,309.28,West
ORD-101084,11/12/2025,CUST-10037,Meta,265.16,Northeast
ORD-101379,01/16/2026,CUST-10998,google_ads,459.38,West
ORD-101286,12/25/2025,CUST-10309,google_ads,240.31,Midwest
ORD-101470,02/16/2026,CUST-10021,GoogleAds,262.3,West
ORD-100012,01/07/2025,CUST-10865,FB Ads,163.3,Midwest
ORD-100688,07/30/2025,CUST-10210,GoogleAds,228.51,Northeast
ORD-101719,04/24/2026,CUST-11036,Google Ads,198.99,West
ORD-100167,02/28/2025,CUST-10794,Google Ads,142.58,Northeast
ORD-100758,08/21/2025,CUST-10733,FB Ads,185.51,West
ORD-101888,06/10/2026,CUST-10774,GOOGLE ADS,520.06,Midwest
ORD-100188,03/09/2025,CUST-11294,Facebook,309.71,Southeast
ORD-101803,05/17/2026,CUST-10689,FB Ads,167.36,Southeast
