month_start,month,channel,spend,spend_missing,revenue,orders,sessions,bounced_sessions
2025-06-01,2025-06,Email,788.48,0,4796.0,14,400,179.43
2025-06-01,2025-06,Google Ads,4363.0,0,13993.59,46,2190,1031.77
2025-06-01,2025-06,Meta,2468.36,0,5830.83,23,1643,948.66
2025-06-01,2025-06,Organic,539.0,0,2850.6800000000003,9,321,129.09
2025-07-01,2025-07,Affiliate,,1,2124.26,10,556,352.54
2025-07-01,2025-07,Email,871.0,0,3959.33,12,343,146.57
2025-07-01,2025-07,Google Ads,4400.0,0,16354.16,54,2571,1239.48
2025-07-01,2025-07,Meta,2663.34,0,6275.15,25,1786,1005.85
2025-07-01,2025-07,Organic,553.0,0,2985.64,9,321,133.38
2025-08-01,2025-08,Affiliate,1328.0,0,2865.22,13,722,448.97
2025-08-01,2025-08,Email,682.91,0,3347.32,10,286,125.3
2025-08-01,2025-08,Google Ads,4377.68,0,13570.38,45,2143,1008.06
2025-08-01,2025-08,Meta,2626.0,0,5926.33,23,1643,960.47
2025-08-01,2025-08,Organic,528.0,0,2972.34,9,321,127.83
2025-09-01,2025-09,Affiliate,1194.03,0,1950.78,9,500,317.93
2025-09-01,2025-09,Email,946.6,0,5261.1,16,457,192.85
2025-09-01,2025-09,Google Ads,5138.48,0,14814.63,49,2333,1107.44
2025-09-01,2025-09,Meta,2850.0,0,8081.65,32,2286,1324.29
2025-09-01,2025-09,Organic,563.25,0,3345.87,11,393,159.56
2025-10-01,2025-10,Affiliate,1378.0,0,2209.99,10,556,349.68
2025-10-01,2025-10,Email,861.93,0,4664.99,14,400,173.41
2025-10-01,2025-10,Google Ads,4828.24,0,14482.9,48,2286,1063.62
2025-10-01,2025-10,Meta,3185.36,0,7423.26,29,2071,1203.33
2025-10-01,2025-10,Organic,690.34,0,4165.78,13,464,194.25
2025-11-01,2025-11,Affiliate,1398.44,0,2895.9700000000003,13,722,452.5
2025-11-01,2025-11,Email,1196.84,0,7311.23,22,629,283.03
2025-11-01,2025-11,Google Ads,6161.46,0,19389.95,64,3048,1379.27
2025-11-01,2025-11,Meta,3534.0,0,9474.48,38,2714,1530.52
2025-11-01,2025-11,Organic,789.92,0,4715.48,15,536,221.43
2025-12-01,2025-12,Affiliate,1594.0,0,3307.27,15,833,520.21
2025-12-01,2025-12,Email,1061.39,0,6199.37,18,514,221.66
2025-12-01,2025-12,Google Ads,5604.76,0,22244.02,73,3476,1637.0
2025-12-01,2025-12,Meta,3433.0,0,8751.03,35,2500,1427.26
2025-12-01,2025-12,Organic,645.69,0,3967.92,13,464,188.61
2026-01-01,2026-01,Affiliate,1023.22,0,1932.78,9,500,309.29
2026-01-01,2026-01,Email,694.52,0,3115.8,9,257,108.86
2026-01-01,2026-01,Google Ads,4288.02,0,11442.36,38,1810,820.0
2026-01-01,2026-01,Meta,2741.0,0,5843.74,23,1643,942.27
2026-01-01,2026-01,Organic,491.0,0,2435.7,8,286,116.25
2026-02-01,2026-02,Affiliate,,1,1785.72,8,444,278.66
2026-02-01,2026-02,Email,708.0,0,3611.7799999999997,11,314,135.1
2026-02-01,2026-02,Google Ads,4536.56,0,13263.0,43,2048,974.84
2026-02-01,2026-02,Meta,2536.23,0,5798.41,23,1643,945.47
2026-02-01,2026-02,Organic,478.0,0,2474.64,8,286,121.24
2026-03-01,2026-03,Affiliate,1297.48,0,1997.0,9,500,313.43
2026-03-01,2026-03,Email,720.0,0,3814.8,11,314,138.43
2026-03-01,2026-03,Google Ads,5331.73,0,17308.03,57,2714,1295.44
2026-03-01,2026-03,Meta,3009.04,0,7858.05,31,2214,1307.57
2026-03-01,2026-03,Organic,509.0,0,2825.28,9,321,128.14
2026-04-01,2026-04,Affiliate,1205.35,0,2261.73,10,556,356.84
2026-04-01,2026-04,Email,831.83,0,5096.5,15,429,194.42
2026-04-01,2026-04,Google Ads,4836.0,0,14963.83,49,2333,1088.81
2026-04-01,2026-04,Meta,3010.6,0,8179.61,32,2286,1341.66
2026-04-01,2026-04,Organic,492.8,0,2858.27,9,321,132.25
2026-05-01,2026-05,Affiliate,1293.15,0,2553.72,12,667,404.91
2026-05-01,2026-05,Email,822.0,0,4610.12,14,400,177.01
2026-05-01,2026-05,Google Ads,5415.15,0,13839.84,45,2143,974.76
2026-05-01,2026-05,Meta,2760.11,0,6839.76,27,1929,1138.92
2026-05-01,2026-05,Organic,566.55,0,3446.36,11,393,164.54
2026-06-01,2026-06,Affiliate,1293.65,0,2496.3199999999997,11,611,379.28
2026-06-01,2026-06,Email,880.0,0,4448.5,13,371,163.26
2026-06-01,2026-06,Google Ads,4504.65,0,14242.119999999999,47,2238,1073.4
2026-06-01,2026-06,Meta,2984.0,0,6482.11,26,1857,1063.6
2026-06-01,2026-06,Organic,574.0,0,3231.94,10,357,149.54
