session_date,month,channel,sessions,bounce_rate
2025-01-15,2025-01,Meta,24,0.622
2025-01-15,2025-01,Organic,4,0.362
2025-01-15,2025-01,Meta,30,0.543
2025-01-15,2025-01,Google Ads,33,0.491
2025-01-15,2025-01,Affiliate,13,0.576
2025-01-15,2025-01,Organic,3,0.451
2025-01-15,2025-01,Google Ads,32,0.422
2025-01-15,2025-01,Email,13,0.505
2025-01-15,2025-01,Organic,3,0.348
2025-01-15,2025-01,Affiliate,5,0.56
2025-01-16,2025-01,Google Ads,25,0.479
2025-01-16,2025-01,Google Ads,25,0.496
2025-01-16,2025-01,Email,7,0.516
2025-01-16,2025-01,Meta,15,0.522
2025-01-16,2025-01,Meta,18,0.622
2025-01-16,2025-01,Affiliate,20,0.573
2025-01-16,2025-01,Organic,14,0.325
2025-01-16,2025-01,Email,2,0.331
2025-01-17,2025-01,Affiliate,5,0.622
2025-01-17,2025-01,Google Ads,23,0.444
2025-01-17,2025-01,Google Ads,24,0.434
2025-01-17,2025-01,Affiliate,12,0.541
2025-01-17,2025-01,Google Ads,24,0.389
2025-01-17,2025-01,Organic,15,0.385
2025-01-17,2025-01,Meta,43,0.64
2025-01-17,2025-01,Email,12,0.495
2025-01-18,2025-01,Meta,10,0.577
2025-01-18,2025-01,Meta,9,0.513
2025-01-18,2025-01,Organic,6,0.419
2025-01-18,2025-01,Email,2,0.477
2025-01-18,2025-01,Affiliate,12,0.634
2025-01-18,2025-01,Organic,1,0.469
2025-01-18,2025-01,Meta,15,0.464
2025-01-18,2025-01,Email,3,0.382
2025-01-18,2025-01,Google Ads,33,0.45
2025-01-18,2025-01,Organic,1,0.411
2025-01-19,2025-01,Meta,20,0.52
2025-01-19,2025-01,Google Ads,21,0.503
2025-01-19,2025-01,Google Ads,12,0.552
2025-01-19,2025-01,Affiliate,16,0.657
2025-01-19,2025-01,Affiliate,11,0.623
2025-01-19,2025-01,Meta,30,0.586
2025-01-19,2025-01,Email,4,0.522
2025-01-19,2025-01,Organic,6,0.326
2025-01-19,2025-01,Google Ads,17,0.471
2025-01-19,2025-01,Email,7,0.43
2025-01-19,2025-01,Organic,7,0.438
2025-01-20,2025-01,Organic,6,0.345
2025-01-20,2025-01,Meta,17,0.541
2025-01-20,2025-01,Meta,22,0.691
2025-01-20,2025-01,Google Ads,29,0.526
2025-01-20,2025-01,Affiliate,9,0.696
2025-01-20,2025-01,Google Ads,33,0.456
2025-01-20,2025-01,Email,7,0.531
2025-01-20,2025-01,Organic,6,0.341
2025-01-20,2025-01,Email,7,0.467
2025-01-20,2025-01,Meta,17,0.564
2025-01-20,2025-01,Affiliate,7,0.613
2025-01-21,2025-01,Affiliate,12,0.592
2025-01-21,2025-01,Organic,19,0.444
2025-01-21,2025-01,Organic,11,0.276
2025-01-21,2025-01,Google Ads,29,0.468
2025-01-21,2025-01,Meta,28,0.582
2025-01-21,2025-01,Google Ads,19,0.387
2025-01-21,2025-01,Email,4,0.351
2025-01-21,2025-01,Meta,23,0.507
2025-01-21,2025-01,Affiliate,6,0.551
2025-01-22,2025-01,Organic,11,0.476
2025-01-22,2025-01,Email,11,0.387
2025-01-22,2025-01,Meta,61,0.547
2025-01-22,2025-01,Affiliate,18,0.709
2025-01-22,2025-01,Google Ads,44,0.538
2025-01-23,2025-01,Organic,4,0.43
2025-01-23,2025-01,Email,7,0.564
2025-01-23,2025-01,Affiliate,6,0.636
2025-01-23,2025-01,Google Ads,51,0.408
2025-01-23,2025-01,Affiliate,7,0.676
2025-01-23,2025-01,Email,5,0.443
2025-01-23,2025-01,Meta,21,0.556
2025-01-23,2025-01,Meta,17,0.672
2025-01-23,2025-01,Affiliate,9,0.595
2025-01-24,2025-01,Organic,2,0.296
2025-01-24,2025-01,Google Ads,11,0.438
2025-01-24,2025-01,Email,4,0.524
2025-01-24,2025-01,Organic,2,0.374
2025-01-24,2025-01,Google Ads,12,0.526
2025-01-24,2025-01,Email,3,0.52
2025-01-24,2025-01,Affiliate,14,0.611
2025-01-24,2025-01,Meta,48,0.541
2025-01-24,2025-01,Google Ads,19,0.434
2025-01-25,2025-01,Email,3,0.427
2025-01-25,2025-01,Email,5,0.51
2025-01-25,2025-01,Meta,50,0.557
2025-01-25,2025-01,Affiliate,17,0.726
2025-01-25,2025-01,Organic,12,0.457
2025-01-25,2025-01,Google Ads,54,0.565
2025-01-26,2025-01,Meta,22,0.579
2025-01-26,2025-01,Google Ads,12,0.425
2025-01-26,2025-01,Organic,5,0.416
2025-01-26,2025-01,Affiliate,3,0.677
2025-01-26,2025-01,Organic,5,0.362
2025-01-26,2025-01,Email,9,0.429
2025-01-26,2025-01,Email,5,0.481
2025-01-26,2025-01,Google Ads,19,0.478
2025-01-26,2025-01,Affiliate,6,0.645
2025-01-26,2025-01,Affiliate,9,0.6
2025-01-26,2025-01,Meta,22,0.639
2025-01-26,2025-01,Google Ads,21,0.509
2025-01-27,2025-01,Affiliate,12,0.685
2025-01-27,2025-01,Email,11,0.478
2025-01-27,2025-01,Meta,19,0.551
2025-01-27,2025-01,Meta,16,0.521
2025-01-27,2025-01,Organic,4,0.359
2025-01-27,2025-01,Organic,1,0.351
2025-01-27,2025-01,Google Ads,52,0.481
2025-01-27,2025-01,Meta,12,0.537
2025-01-28,2025-01,Email,10,0.427
2025-01-28,2025-01,Organic,3,0.454
2025-01-28,2025-01,Google Ads,12,0.51
2025-01-28,2025-01,Affiliate,7,0.63
2025-01-28,2025-01,Organic,2,0.415
2025-01-28,2025-01,Google Ads,15,0.431
2025-01-28,2025-01,Affiliate,9,0.592
2025-01-28,2025-01,Email,3,0.351
2025-01-28,2025-01,Meta,54,0.58
2025-01-28,2025-01,Google Ads,16,0.478
2025-01-28,2025-01,Organic,2,0.345
2025-01-29,2025-01,Meta,48,0.575
2025-01-29,2025-01,Google Ads,32,0.378
2025-01-29,2025-01,Email,10,0.501
2025-01-29,2025-01,Organic,3,0.542
2025-01-29,2025-01,Google Ads,35,0.534
2025-01-29,2025-01,Organic,1,0.37
2025-01-29,2025-01,Affiliate,7,0.695
2025-01-29,2025-01,Affiliate,9,0.572
2025-01-29,2025-01,Organic,3,0.379
2025-01-30,2025-01,Email,3,0.456
2025-01-30,2025-01,Google Ads,18,0.401
2025-01-30,2025-01,Email,3,0.339
2025-01-30,2025-01,Email,3,0.472
2025-01-30,2025-01,Meta,18,0.586
2025-01-30,2025-01,Organic,4,0.375
2025-01-30,2025-01,Affiliate,6,0.618
2025-01-30,2025-01,Affiliate,6,0.597
2025-01-30,2025-01,Organic,2,0.388
2025-01-30,2025-01,Google Ads,21,0.426
2025-01-30,2025-01,Organic,4,0.406
2025-01-30,2025-01,Meta,13,0.644
2025-01-31,2025-01,Google Ads,17,0.526
2025-01-31,2025-01,Affiliate,4,0.689
2025-01-31,2025-01,Email,4,0.402
2025-01-31,2025-01,Organic,2,0.348
2025-01-31,2025-01,Organic,5,0.435
2025-01-31,2025-01,Email,6,0.45
2025-01-31,2025-01,Affiliate,7,0.631
2025-01-31,2025-01,Organic,2,0.422
2025-01-31,2025-01,Meta,23,0.612
2025-01-31,2025-01,Meta,22,0.536
2025-01-31,2025-01,Google Ads,17,0.579
2025-02-01,2025-02,Meta,17,0.554
2025-02-01,2025-02,Email,2,0.412
2025-02-01,2025-02,Organic,6,0.39
2025-02-01,2025-02,Google Ads,25,0.473
2025-02-01,2025-02,Google Ads,21,0.356
2025-02-01,2025-02,Email,3,0.378
2025-02-01,2025-02,Meta,15,0.599
2025-02-01,2025-02,Affiliate,9,0.594
2025-02-02,2025-02,Organic,5,0.392
2025-02-02,2025-02,Meta,18,0.666
2025-02-02,2025-02,Google Ads,62,0.434
2025-02-02,2025-02,Email,5,0.357
2025-02-02,2025-02,Email,3,0.439
2025-02-02,2025-02,Affiliate,4,0.71
2025-02-02,2025-02,Meta,14,0.677
2025-02-02,2025-02,Affiliate,7,0.652
2025-02-02,2025-02,Meta,14,0.599
2025-02-03,2025-02,Organic,9,0.352
2025-02-03,2025-02,Email,7,0.397
2025-02-03,2025-02,Organic,6,0.491
2025-02-03,2025-02,Google Ads,62,0.524
2025-02-03,2025-02,Email,4,0.351
2025-02-03,2025-02,Affiliate,10,0.656
2025-02-03,2025-02,Meta,44,0.498
2025-02-04,2025-02,Meta,29,0.482
2025-02-04,2025-02,Email,4,0.466
2025-02-04,2025-02,Affiliate,4,0.601
2025-02-04,2025-02,Google Ads,27,0.504
2025-02-04,2025-02,Affiliate,3,0.685
2025-02-04,2025-02,Email,2,0.41
2025-02-04,2025-02,Affiliate,2,0.656
2025-02-04,2025-02,Meta,39,0.501
2025-02-04,2025-02,Organic,18,0.311
2025-02-04,2025-02,Google Ads,36,0.499
2025-02-05,2025-02,Meta,68,0.594
2025-02-05,2025-02,Affiliate,10,0.57
2025-02-05,2025-02,Organic,5,0.384
2025-02-05,2025-02,Organic,2,0.295
2025-02-05,2025-02,Affiliate,6,0.475
2025-02-05,2025-02,Email,8,0.318
2025-02-05,2025-02,Affiliate,5,0.646
2025-02-05,2025-02,Google Ads,31,0.456
2025-02-05,2025-02,Google Ads,22,0.45
2025-02-05,2025-02,Google Ads,33,0.432
2025-02-05,2025-02,Email,8,0.453
2025-02-06,2025-02,Email,1,0.42
2025-02-06,2025-02,Google Ads,18,0.477
2025-02-06,2025-02,Meta,24,0.485
2025-02-06,2025-02,Meta,33,0.503
2025-02-06,2025-02,Organic,7,0.367
2025-02-06,2025-02,Organic,4,0.355
2025-02-06,2025-02,Email,2,0.471
2025-02-06,2025-02,Google Ads,23,0.441
2025-02-06,2025-02,Affiliate,31,0.611
2025-02-07,2025-02,Google Ads,67,0.514
2025-02-07,2025-02,Meta,51,0.609
2025-02-07,2025-02,Affiliate,5,0.608
2025-02-07,2025-02,Organic,8,0.417
2025-02-07,2025-02,Email,18,0.358
2025-02-07,2025-02,Affiliate,4,0.601
2025-02-08,2025-02,Organic,4,0.456
2025-02-08,2025-02,Organic,3,0.454
2025-02-08,2025-02,Affiliate,13,0.602
2025-02-08,2025-02,Google Ads,21,0.478
2025-02-08,2025-02,Meta,23,0.623
2025-02-08,2025-02,Google Ads,30,0.441
2025-02-08,2025-02,Email,7,0.405
2025-02-08,2025-02,Meta,21,0.594
2025-02-09,2025-02,Email,9,0.375
2025-02-09,2025-02,Google Ads,47,0.396
2025-02-09,2025-02,Meta,28,0.528
2025-02-09,2025-02,Organic,12,0.438
2025-02-09,2025-02,Meta,35,0.628
2025-02-09,2025-02,Affiliate,16,0.61
2025-02-09,2025-02,Email,7,0.483
2025-02-10,2025-02,Google Ads,42,0.519
2025-02-10,2025-02,Affiliate,8,0.568
2025-02-10,2025-02,Organic,4,0.446
2025-02-10,2025-02,Email,4,0.423
2025-02-10,2025-02,Organic,3,0.469
2025-02-10,2025-02,Google Ads,36,0.564
2025-02-10,2025-02,Email,6,0.411
2025-02-10,2025-02,Meta,49,0.646
2025-02-11,2025-02,Meta,16,0.597
2025-02-11,2025-02,Affiliate,14,0.647
2025-02-11,2025-02,Meta,18,0.534
2025-02-11,2025-02,Affiliate,8,0.641
2025-02-11,2025-02,Organic,10,0.3
2025-02-11,2025-02,Google Ads,31,0.453
2025-02-11,2025-02,Google Ads,36,0.478
2025-02-11,2025-02,Email,13,0.375
2025-02-12,2025-02,Affiliate,22,0.614
2025-02-12,2025-02,Meta,15,0.597
2025-02-12,2025-02,Meta,14,0.573
2025-02-12,2025-02,Email,5,0.413
2025-02-12,2025-02,Organic,6,0.469
2025-02-12,2025-02,Organic,4,0.411
2025-02-12,2025-02,Meta,21,0.502
2025-02-12,2025-02,Google Ads,44,0.436
2025-02-12,2025-02,Email,7,0.434
2025-02-13,2025-02,Email,7,0.439
2025-02-13,2025-02,Organic,5,0.405
2025-02-13,2025-02,Google Ads,28,0.51
2025-02-13,2025-02,Google Ads,24,0.481
2025-02-13,2025-02,Affiliate,10,0.632
2025-02-13,2025-02,Google Ads,30,0.501
2025-02-13,2025-02,Meta,44,0.57
2025-02-13,2025-02,Affiliate,9,0.694
2025-02-14,2025-02,Google Ads,55,0.448
2025-02-14,2025-02,Organic,9,0.468
2025-02-14,2025-02,Affiliate,6,0.651
2025-02-14,2025-02,Organic,6,0.433
2025-02-14,2025-02,Meta,62,0.542
2025-02-14,2025-02,Affiliate,7,0.753
2025-02-14,2025-02,Affiliate,9,0.653
2025-02-14,2025-02,Email,6,0.373
2025-02-14,2025-02,Email,5,0.372
2025-02-15,2025-02,Affiliate,2,0.645
2025-02-15,2025-02,Affiliate,8,0.719
2025-02-15,2025-02,Email,6,0.401
2025-02-15,2025-02,Meta,48,0.482
2025-02-15,2025-02,Google Ads,26,0.477
2025-02-15,2025-02,Google Ads,30,0.453
2025-02-15,2025-02,Organic,8,0.385
2025-02-15,2025-02,Email,7,0.456
2025-02-15,2025-02,Affiliate,4,0.68
2025-02-16,2025-02,Affiliate,15,0.593
2025-02-16,2025-02,Google Ads,49,0.428
2025-02-16,2025-02,Organic,5,0.409
2025-02-16,2025-02,Affiliate,10,0.694
2025-02-16,2025-02,Email,2,0.405
2025-02-16,2025-02,Meta,80,0.654
2025-02-16,2025-02,Email,3,0.457
2025-02-16,2025-02,Google Ads,42,0.364
2025-02-16,2025-02,Organic,3,0.387
2025-02-17,2025-02,Meta,26,0.648
2025-02-17,2025-02,Organic,4,0.389
2025-02-17,2025-02,Email,4,0.5
2025-02-17,2025-02,Email,3,0.398
2025-02-17,2025-02,Google Ads,38,0.44
2025-02-17,2025-02,Affiliate,14,0.552
2025-02-17,2025-02,Meta,38,0.544
2025-02-17,2025-02,Organic,7,0.446
2025-02-17,2025-02,Affiliate,8,0.545
2025-02-17,2025-02,Email,2,0.422
2025-02-17,2025-02,Google Ads,34,0.468
2025-02-18,2025-02,Email,2,0.459
2025-02-18,2025-02,Google Ads,62,0.425
2025-02-18,2025-02,Organic,7,0.369
2025-02-18,2025-02,Meta,16,0.59
2025-02-18,2025-02,Meta,14,0.573
2025-02-18,2025-02,Meta,9,0.532
2025-02-18,2025-02,Email,2,0.493
2025-02-18,2025-02,Email,4,0.365
2025-02-18,2025-02,Affiliate,30,0.626
2025-02-18,2025-02,Organic,4,0.311
2025-02-19,2025-02,Google Ads,38,0.501
2025-02-19,2025-02,Email,6,0.449
2025-02-19,2025-02,Meta,31,0.521
2025-02-19,2025-02,Meta,22,0.66
2025-02-19,2025-02,Email,3,0.439
2025-02-19,2025-02,Organic,17,0.468
2025-02-19,2025-02,Affiliate,7,0.584
2025-02-19,2025-02,Meta,27,0.522
2025-02-19,2025-02,Google Ads,40,0.409
2025-02-19,2025-02,Affiliate,12,0.596
2025-02-20,2025-02,Organic,6,0.383
2025-02-20,2025-02,Meta,23,0.603
2025-02-20,2025-02,Organic,4,0.369
2025-02-20,2025-02,Affiliate,8,0.573
2025-02-20,2025-02,Email,7,0.431
2025-02-20,2025-02,Affiliate,9,0.64
2025-02-20,2025-02,Affiliate,10,0.685
2025-02-20,2025-02,Google Ads,54,0.434
2025-02-20,2025-02,Meta,22,0.619
2025-02-21,2025-02,Google Ads,35,0.485
2025-02-21,2025-02,Organic,4,0.338
2025-02-21,2025-02,Organic,3,0.362
2025-02-21,2025-02,Google Ads,38,0.534
2025-02-21,2025-02,Affiliate,16,0.626
2025-02-21,2025-02,Meta,24,0.57
2025-02-21,2025-02,Meta,30,0.568
2025-02-21,2025-02,Email,10,0.363
2025-02-22,2025-02,Google Ads,87,0.526
2025-02-22,2025-02,Affiliate,3,0.591
2025-02-22,2025-02,Email,3,0.492
2025-02-22,2025-02,Meta,17,0.675
2025-02-22,2025-02,Affiliate,4,0.533
2025-02-22,2025-02,Affiliate,6,0.579
2025-02-22,2025-02,Email,3,0.348
2025-02-22,2025-02,Organic,5,0.314
2025-02-22,2025-02,Organic,8,0.443
2025-02-22,2025-02,Email,2,0.454
2025-02-22,2025-02,Meta,26,0.584
2025-02-23,2025-02,Affiliate,17,0.573
2025-02-23,2025-02,Meta,18,0.627
2025-02-23,2025-02,Google Ads,29,0.465
2025-02-23,2025-02,Meta,18,0.647
2025-02-23,2025-02,Organic,10,0.309
2025-02-23,2025-02,Meta,21,0.553
2025-02-23,2025-02,Email,7,0.381
2025-02-23,2025-02,Google Ads,23,0.523
2025-02-24,2025-02,Meta,35,0.629
2025-02-24,2025-02,Google Ads,29,0.491
2025-02-24,2025-02,Meta,34,0.53
2025-02-24,2025-02,Email,1,0.377
2025-02-24,2025-02,Google Ads,26,0.385
2025-02-24,2025-02,Organic,9,0.42
2025-02-24,2025-02,Affiliate,14,0.606
2025-02-24,2025-02,Email,6,0.441
2025-02-24,2025-02,Google Ads,32,0.56
2025-02-24,2025-02,Email,3,0.484
2025-02-25,2025-02,Google Ads,45,0.432
2025-02-25,2025-02,Organic,14,0.413
2025-02-25,2025-02,Email,5,0.384
2025-02-25,2025-02,Meta,61,0.541
2025-02-25,2025-02,Affiliate,31,0.58
2025-02-25,2025-02,Email,3,0.491
2025-02-25,2025-02,Google Ads,23,0.379
2025-02-26,2025-02,Email,3,0.472
2025-02-26,2025-02,Meta,21,0.583
2025-02-26,2025-02,Affiliate,22,0.58
2025-02-26,2025-02,Organic,1,0.516
2025-02-26,2025-02,Google Ads,37,0.467
2025-02-26,2025-02,Google Ads,39,0.336
2025-02-26,2025-02,Email,5,0.5
2025-02-26,2025-02,Meta,16,0.681
2025-02-26,2025-02,Meta,20,0.581
2025-02-26,2025-02,Organic,6,0.437
2025-02-27,2025-02,Google Ads,27,0.449
2025-02-27,2025-02,Affiliate,5,0.612
2025-02-27,2025-02,Meta,16,0.611
2025-02-27,2025-02,Email,3,0.427
2025-02-27,2025-02,Email,3,0.458
2025-02-27,2025-02,Affiliate,7,0.612
2025-02-27,2025-02,Google Ads,23,0.417
2025-02-27,2025-02,Meta,15,0.479
2025-02-27,2025-02,Meta,14,0.531
2025-02-27,2025-02,Organic,9,0.425
2025-02-28,2025-02,Google Ads,12,0.469
2025-02-28,2025-02,Affiliate,10,0.672
2025-02-28,2025-02,Google Ads,24,0.526
2025-02-28,2025-02,Affiliate,6,0.764
2025-02-28,2025-02,Email,5,0.403
2025-02-28,2025-02,Organic,5,0.4
2025-02-28,2025-02,Meta,46,0.627
2025-02-28,2025-02,Email,1,0.388
2025-02-28,2025-02,Google Ads,17,0.569
2025-02-28,2025-02,Organic,6,0.501
2025-02-28,2025-02,Organic,5,0.398
2025-03-01,2025-03,Meta,59,0.581
2025-03-01,2025-03,Organic,2,0.41
2025-03-01,2025-03,Affiliate,10,0.601
2025-03-01,2025-03,Email,10,0.429
2025-03-01,2025-03,Affiliate,6,0.584
2025-03-01,2025-03,Organic,5,0.389
2025-03-01,2025-03,Google Ads,18,0.474
2025-03-01,2025-03,Google Ads,22,0.347
2025-03-01,2025-03,Email,5,0.442
2025-03-01,2025-03,Affiliate,3,0.679
2025-03-01,2025-03,Google Ads,17,0.478
2025-03-02,2025-03,Affiliate,6,0.577
2025-03-02,2025-03,Organic,3,0.31
2025-03-02,2025-03,Affiliate,6,0.703
2025-03-02,2025-03,Google Ads,62,0.418
2025-03-02,2025-03,Meta,59,0.625
2025-03-02,2025-03,Organic,3,0.364
2025-03-03,2025-03,Meta,28,0.738
2025-03-03,2025-03,Affiliate,5,0.726
2025-03-03,2025-03,Email,15,0.481
2025-03-03,2025-03,Meta,29,0.561
2025-03-03,2025-03,Google Ads,25,0.445
2025-03-03,2025-03,Google Ads,38,0.541
2025-03-03,2025-03,Affiliate,6,0.538
2025-03-03,2025-03,Affiliate,10,0.657
2025-03-03,2025-03,Organic,6,0.4
2025-03-04,2025-03,Email,7,0.452
2025-03-04,2025-03,Google Ads,13,0.435
2025-03-04,2025-03,Organic,5,0.498
2025-03-04,2025-03,Email,3,0.411
2025-03-04,2025-03,Meta,70,0.558
2025-03-04,2025-03,Google Ads,28,0.45
2025-03-04,2025-03,Google Ads,22,0.43
2025-03-04,2025-03,Affiliate,13,0.54
2025-03-04,2025-03,Organic,6,0.433
2025-03-04,2025-03,Affiliate,14,0.62
2025-03-04,2025-03,Email,4,0.445
2025-03-05,2025-03,Affiliate,5,0.694
2025-03-05,2025-03,Google Ads,33,0.413
2025-03-05,2025-03,Affiliate,11,0.613
2025-03-05,2025-03,Email,3,0.504
2025-03-05,2025-03,Email,8,0.524
2025-03-05,2025-03,Google Ads,43,0.489
2025-03-05,2025-03,Meta,21,0.604
2025-03-05,2025-03,Organic,8,0.288
2025-03-05,2025-03,Meta,18,0.45
2025-03-05,2025-03,Email,2,0.37
2025-03-06,2025-03,Email,5,0.435
2025-03-06,2025-03,Google Ads,68,0.523
2025-03-06,2025-03,Meta,15,0.528
2025-03-06,2025-03,Organic,7,0.373
2025-03-06,2025-03,Affiliate,3,0.675
2025-03-06,2025-03,Meta,24,0.608
2025-03-06,2025-03,Affiliate,9,0.595
2025-03-06,2025-03,Meta,19,0.58
2025-03-06,2025-03,Email,5,0.458
2025-03-07,2025-03,Email,9,0.476
2025-03-07,2025-03,Meta,17,0.552
2025-03-07,2025-03,Email,7,0.434
2025-03-07,2025-03,Google Ads,36,0.555
2025-03-07,2025-03,Organic,7,0.473
2025-03-07,2025-03,Meta,24,0.464
2025-03-07,2025-03,Affiliate,7,0.581
2025-03-07,2025-03,Meta,17,0.62
2025-03-07,2025-03,Affiliate,7,0.655
2025-03-07,2025-03,Google Ads,41,0.47
2025-03-08,2025-03,Affiliate,6,0.51
2025-03-08,2025-03,Email,11,0.415
2025-03-08,2025-03,Google Ads,52,0.515
2025-03-08,2025-03,Meta,48,0.661
2025-03-08,2025-03,Organic,2,0.369
